"name","id"
"Deisenhofen","8001404"
"Dellfeld Ort","8001407"
"Dellfeld","8001406"
"Demitz-Thumitz","8011354"
"Delitzsch unt Bf","8010076"
"Densborn","8001414"
"Demmin","8011356"
"Demker","8011355"
"Weilerswist-Derkum","8001416"
"Delmenhorst","8000070"
"Dernbach (Westerw)","8001418"
"Dernau","8001417"
"Derneburg (Han)","8000071"
"Denzlingen","8001415"
"Dessau-Mosigkau","8011364"
"Dessau Süd","8011361"
"Dessau-Alten","8011363"
"Dettelbach Bahnhof","8001421"
"Dessauer Brücke","8080560"
"Dessau Hbf","8010077"
"Dettum","8001429"
"Dettingen (Main)","8001427"
"Deuben (b Zeitz)","8010078"
"Dettingen (Teck)","8001428"
"Deuerling","8001430"
"Deuten","8001432"
"Diebach","8001435"
"Deutzen","8011371"
"Detmold","8001420"
"Dieburg","8000362"
"Diedorf (Schwab)","8001439"
"Diepholz","8001443"
"Dieskau","8011376"
"Dießen","8001447"
"Dieringhausen","8000363"
"Dietersheim","8001450"
"Dietmannsried","8001454"
"Diebsteich","8001438"
"Dietzhausen","8011378"
"Dillbrecht","8001460"
"Diez","8001457"
"Diez Ost","8001458"
"Dingden","8001465"
"Dillingen (Donau)","8001463"
"Dinkelscherben","8001468"
"Dillenburg","8000074"
"Dingolfing","8001466"
"Dillingen (Saar)","8000075"
"Dirmingen","8001470"
"Dissen-Bad Rothenfelde","8001471"
"Dinslaken","8001469"
"Dittersbach (b Frankenberg/Sachs)","8011385"
"Ditfurt","8011383"
"Döbeln Hbf","8010080"
"Ditzingen","8001476"
"Doberschütz","8011387"
"Dortmund-Lütgendortmund","8001516"
"Döggingen","8001480"
"Dodendorf","8011388"
"Doberlug-Kirchhain","8010079"
"Dogern","8001491"
"Dollbergen","8001492"
